bidder_id,lot_id,auction_id,amount,name,address,auction_id,auction_name,city,item_description
39,20,1,10,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",1,Mcdougall Auctions,Winnipeg,1990 Honda Prelude
23,9,4,13,Braulio Daunte Nacu Acuña,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,1990 Massey Fergison
8,22,3,19,Richard O'Shiel,"28 Rd 1 SW, Waterville,wa, 98858  United States",3,Selkirk Auctioneers,Selkirk,1993 Toyota Soarer
3,18,2,21,Victor O'Concannon,"4 Ranch K Lane, Nemo,sd, 53359  United States",2,Penner Auctions,Steinbach,Box of nuts and bolts
39,1,1,23,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",1,Mcdougall Auctions,Winnipeg,Old lamp
24,7,1,24,Lisandro Elias Chincuanco Tolosa,"555 Chemin Demers, Lévis, Qc, Canada",1,Mcdougall Auctions,Winnipeg,Guiness Book of World Records 1998
26,19,1,24,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",1,Mcdougall Auctions,Winnipeg,3 winter tires
18,10,2,24,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",2,Penner Auctions,Steinbach,1970 Honda Moped
36,23,1,29,Evelyn Gisselle Alonto Capulong,"533 Reunion Common North-west, Airdrie, Ab, Canada",1,Mcdougall Auctions,Winnipeg,1992 Nissan Silvia
11,17,1,30,Cora Murry,"12 Oak Street, Town Of Caledon, On, Canada",1,Mcdougall Auctions,Winnipeg,Toolbox
31,24,4,30,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1995 Subaru WRX
14,13,3,32,Naomi Dunn,"322 Burton Street, Powell River, Bc, Canada",3,Selkirk Auctioneers,Selkirk,A pile of catalytic converters
26,26,3,32,Calvino Florinio Serad Cabangon,"123 South Railway Avenue, Chin, Ab, Canada",3,Selkirk Auctioneers,Selkirk,1992 Nissan Figaro
39,3,3,35,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",3,Selkirk Auctioneers,Selkirk,VCR
3,12,1,36,Victor O'Concannon,"4 Ranch K Lane, Nemo,sd, 53359  United States",1,Mcdougall Auctions,Winnipeg,5 definitely not stolen bicycles
39,3,1,37,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",1,Mcdougall Auctions,Winnipeg,VCR
3,18,1,37,Victor O'Concannon,"4 Ranch K Lane, Nemo,sd, 53359  United States",1,Mcdougall Auctions,Winnipeg,Box of nuts and bolts
20,11,4,40,Max Joaquin Singco Buenaventura,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Riding Lawnmower
1,5,4,42,Tom O'Kirwan,"2 Salt Lake Street, North Las Vegas,nv, 89030  United States",4,Allied Auto Auctions,Winnipeg,Beer Stein
39,18,4,43,Carlotta Benita Aniban Alejo,"11 Chemin Des Quatre-pattes, Grand-remous, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Box of nuts and bolts
29,6,1,44,Thomas Lukas Gallóra Pamplona,"123 South Railway Avenue, Chin, Ab, Canada",1,Mcdougall Auctions,Winnipeg,Box of polka records
35,5,2,49,Eskama Alaina Wood Manabat,"444B Carré Édouard, Saint-césaire, Qc, Canada",2,Penner Auctions,Steinbach,Beer Stein
21,17,4,49,Toby Reyes Sariua Monteloyola,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Toolbox
18,19,3,50,Orla MacColgan,"67543 Harvey Crescent, City Of Mississauga, On, Canada",3,Selkirk Auctioneers,Selkirk,3 winter tires
14,4,2,54,Naomi Dunn,"322 Burton Street, Powell River, Bc, Canada",2,Penner Auctions,Steinbach,Gramophone
20,16,4,55,Max Joaquin Singco Buenaventura,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Grandma's candy dish
13,23,1,56,Mila Ahren,"322 Burton Street, Powell River, Bc, Canada",1,Mcdougall Auctions,Winnipeg,1992 Nissan Silvia
20,4,4,57,Max Joaquin Singco Buenaventura,"555 Chemin Demers, Lévis, Qc, Canada",4,Allied Auto Auctions,Winnipeg,Gramophone
7,16,2,58,Brendan O'Healy,"13 Salt Kettle, Sandwich,ma, 2563  United States",2,Penner Auctions,Steinbach,Grandma's candy dish
4,20,4,61,Ollie Mullen,"13 Salt Kettle, Sandwich,ma, 2563  United States",4,Allied Auto Auctions,Winnipeg,1990 Honda Prelude
31,21,4,61,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",4,Allied Auto Auctions,Winnipeg,1992 Toyota MR2
8,17,1,62,Richard O'Shiel,"28 Rd 1 SW, Waterville,wa, 98858  United States",1,Mcdougall Auctions,Winnipeg,Toolbox
31,5,2,63,Nixzaliz Madisen Gosum Etrone,"76543 Fairmont Terrace South, Lethbridge, Ab, Canada",2,Penner Auctions,Steinbach,Beer Stein
